decisionId,capabilityKey,candidateId,candidateExists,itemScenarioId,encounterId,capabilityRequirementReferenced,baselineEvaluationStatus,projectedRequirementBlockerReduction,projectedRuleConfirmationBlockerReduction,projectedC01UnknownBlockerReductionAfterFutureMapping,projectedTotalBlockerReferenceReduction,projectedBlockedMatrixRowReduction,remainingUnknownCapabilitiesAfterHypothesis,hypothesisBoundary
"ICRD01-D01","capability.energy_stability","NONE_NO_UNIT_SAFE_RULE","false","COOLDOWN_SUPPORTED","dev_encounter_3_10_cleanse_corner","true","BLOCKED_BY_UNKNOWN","0","0","0","0","0","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","NO_CANDIDATE_NO_REDUCTION"
"ICRD01-D01","capability.energy_stability","NONE_NO_UNIT_SAFE_RULE","false","COOLDOWN_SUPPORTED","dev_encounter_3_10_guard_wall","true","BLOCKED_BY_UNKNOWN","0","0","0","0","0","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","NO_CANDIDATE_NO_REDUCTION"
"ICRD01-D01","capability.energy_stability","NONE_NO_UNIT_SAFE_RULE","false","COOLDOWN_SUPPORTED","dev_encounter_4_10_furnace_core","true","BLOCKED_BY_UNKNOWN","0","0","0","0","0","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","NO_CANDIDATE_NO_REDUCTION"
"ICRD01-D01","capability.energy_stability","NONE_NO_UNIT_SAFE_RULE","false","COOLDOWN_SUPPORTED","dev_encounter_4_10_thunder_fire_cross","true","BLOCKED_BY_UNKNOWN","0","0","0","0","0","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","NO_CANDIDATE_NO_REDUCTION"
"ICRD01-D01","capability.energy_stability","NONE_NO_UNIT_SAFE_RULE","false","DEFENSE_SUPPORTED","dev_encounter_3_10_cleanse_corner","true","BLOCKED_BY_UNKNOWN","0","0","0","0","0","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","NO_CANDIDATE_NO_REDUCTION"
"ICRD01-D01","capability.energy_stability","NONE_NO_UNIT_SAFE_RULE","false","DEFENSE_SUPPORTED","dev_encounter_3_10_guard_wall","true","BLOCKED_BY_UNKNOWN","0","0","0","0","0","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","NO_CANDIDATE_NO_REDUCTION"
"ICRD01-D01","capability.energy_stability","NONE_NO_UNIT_SAFE_RULE","false","DEFENSE_SUPPORTED","dev_encounter_4_10_furnace_core","true","BLOCKED_BY_UNKNOWN","0","0","0","0","0","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","NO_CANDIDATE_NO_REDUCTION"
"ICRD01-D01","capability.energy_stability","NONE_NO_UNIT_SAFE_RULE","false","DEFENSE_SUPPORTED","dev_encounter_4_10_thunder_fire_cross","true","BLOCKED_BY_UNKNOWN","0","0","0","0","0","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","NO_CANDIDATE_NO_REDUCTION"
"ICRD01-D01","capability.energy_stability","NONE_NO_UNIT_SAFE_RULE","false","EMPTY","dev_encounter_3_10_cleanse_corner","true","BLOCKED_BY_UNKNOWN","0","0","0","0","0","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","NO_CANDIDATE_NO_REDUCTION"
"ICRD01-D01","capability.energy_stability","NONE_NO_UNIT_SAFE_RULE","false","EMPTY","dev_encounter_3_10_guard_wall","true","BLOCKED_BY_UNKNOWN","0","0","0","0","0","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","NO_CANDIDATE_NO_REDUCTION"
