sourceKind,sourceId,relationKind,targetKind,targetId,owningComponentId,resolved,isolationCompatible,developerOnly,fixtureOnly
Enemy,dev_enemy_burning_wisp,NormalizedCarrierMechanicProfile,MechanicProfile,dev_enemy_poison_burn_problem,E03,true,true,true,true
Enemy,dev_enemy_burst_assassin,NormalizedCarrierMechanicProfile,MechanicProfile,dev_enemy_burst_problem,E03,true,true,true,true
Enemy,dev_enemy_caster_chanter,NormalizedCarrierMechanicProfile,MechanicProfile,dev_enemy_caster_problem,E03,true,true,true,true
Enemy,dev_enemy_formation_eye_jammer,NormalizedCarrierMechanicProfile,MechanicProfile,dev_enemy_formation_eye_problem,E03,true,true,true,true
Enemy,dev_enemy_poison_cultist,NormalizedCarrierMechanicProfile,MechanicProfile,dev_enemy_poison_burn_problem,E03,true,true,true,true
Enemy,dev_enemy_seal_locker,NormalizedCarrierMechanicProfile,MechanicProfile,dev_enemy_seal_problem,E03,true,true,true,true
Enemy,dev_enemy_shield_guard,NormalizedCarrierMechanicProfile,MechanicProfile,dev_enemy_shield_problem,E03,true,true,true,true
Enemy,dev_enemy_spirit_thief,NormalizedCarrierMechanicProfile,MechanicProfile,dev_enemy_spirit_thief_problem,E03,true,true,true,true
Enemy,dev_enemy_swarm_pack,NormalizedCarrierMechanicProfile,MechanicProfile,dev_enemy_swarm_problem,E03,true,true,true,true
Enemy,dev_enemy_thick_blood,NormalizedCarrierMechanicProfile,MechanicProfile,dev_enemy_thick_blood_problem,E03,true,true,true,true
Boss,dev_boss_burst_huzhen,NormalizedCarrierMechanicProfile,MechanicProfile,dev_boss_bronze_formation_general,E03,true,true,true,true
Boss,dev_boss_caster_zhenhun,NormalizedCarrierMechanicProfile,MechanicProfile,dev_boss_spirit_thief_core,E03,true,true,true,true
Boss,dev_boss_debuff_jinge,NormalizedCarrierMechanicProfile,MechanicProfile,dev_boss_dirty_dream_mother,E03,true,true,true,true
Boss,dev_boss_energy_juneng,NormalizedCarrierMechanicProfile,MechanicProfile,dev_boss_spirit_thief_core,E03,true,true,true,true
Boss,dev_boss_hybrid_combo,NormalizedCarrierMechanicProfile,MechanicProfile,dev_boss_black_furnace_complex_eye,E03,true,true,true,true
Boss,dev_boss_shield_jinglei,NormalizedCarrierMechanicProfile,MechanicProfile,dev_boss_black_furnace_shell,E03,true,true,true,true
Boss,dev_boss_swarm_lihuo,NormalizedCarrierMechanicProfile,MechanicProfile,dev_boss_paper_faces,E03,true,true,true,true
MapRule,dev_map_black_furnace_smoke,MapRuleMechanicProfile,MechanicProfile,dev_boss_black_furnace_shell,E03,true,true,true,true
MapRule,dev_map_black_furnace_smoke,MapRuleMechanicProfile,MechanicProfile,dev_enemy_shield_problem,E03,true,true,true,true
MapRule,dev_map_black_furnace_smoke,MapRuleMechanicProfile,MechanicProfile,dev_enemy_swarm_problem,E03,true,true,true,true
MapRule,dev_map_bluestone_crack,MapRuleMechanicProfile,MechanicProfile,dev_boss_black_furnace_complex_eye,E03,true,true,true,true
MapRule,dev_map_bluestone_crack,MapRuleMechanicProfile,MechanicProfile,dev_enemy_formation_eye_problem,E03,true,true,true,true
MapRule,dev_map_bluestone_crack,MapRuleMechanicProfile,MechanicProfile,dev_enemy_spirit_thief_problem,E03,true,true,true,true
MapRule,dev_map_bluestone_damp,MapRuleMechanicProfile,MechanicProfile,dev_boss_dirty_dream_mother,E03,true,true,true,true
MapRule,dev_map_bluestone_damp,MapRuleMechanicProfile,MechanicProfile,dev_enemy_poison_burn_problem,E03,true,true,true,true
MapRule,dev_map_bluestone_damp,MapRuleMechanicProfile,MechanicProfile,dev_enemy_polluted_tile_problem,E03,true,true,true,true
MapRule,dev_map_copper_bell_night,MapRuleMechanicProfile,MechanicProfile,dev_boss_bronze_formation_general,E03,true,true,true,true
MapRule,dev_map_copper_bell_night,MapRuleMechanicProfile,MechanicProfile,dev_enemy_caster_problem,E03,true,true,true,true
MapRule,dev_map_copper_bell_night,MapRuleMechanicProfile,MechanicProfile,dev_enemy_seal_problem,E03,true,true,true,true
MapRule,dev_map_formation_eye_shift,MapRuleMechanicProfile,MechanicProfile,dev_boss_bronze_formation_general,E03,true,true,true,true
MapRule,dev_map_formation_eye_shift,MapRuleMechanicProfile,MechanicProfile,dev_enemy_formation_eye_problem,E03,true,true,true,true
MapRule,dev_map_formation_eye_shift,MapRuleMechanicProfile,MechanicProfile,dev_enemy_spirit_thief_problem,E03,true,true,true,true
MapRule,dev_map_furnace_ash_fall,MapRuleMechanicProfile,MechanicProfile,dev_boss_black_furnace_complex_eye,E03,true,true,true,true
MapRule,dev_map_furnace_ash_fall,MapRuleMechanicProfile,MechanicProfile,dev_enemy_formation_eye_problem,E03,true,true,true,true
MapRule,dev_map_furnace_ash_fall,MapRuleMechanicProfile,MechanicProfile,dev_enemy_polluted_tile_problem,E03,true,true,true,true
