kind,protectedPath,expectedHash,actualHash,result
aggregate,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I*.asset,1fb4e25cc46caee1adfb0b2262e061bdbc86bd3cf9f89f425fcfd97ca15ea2c3,1fb4e25cc46caee1adfb0b2262e061bdbc86bd3cf9f89f425fcfd97ca15ea2c3,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I001.asset,9AB02D0088793B08D97B74523E989B4C8D3837CE0060EB65302858D2B004655B,9AB02D0088793B08D97B74523E989B4C8D3837CE0060EB65302858D2B004655B,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I002.asset,626120DEDFCF84D522FBD883438CE323494A921F3B6E3BF1AB7F79BF9BB09473,626120DEDFCF84D522FBD883438CE323494A921F3B6E3BF1AB7F79BF9BB09473,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I003.asset,,F8C8D1A452AC1B021777ECA5CEC9F00291DC8A04250CADF6FA9A48D7C98DED6B,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I004.asset,,1F6698195AA5262F0E2C0A5B64D60D742E6AB11A5006ABEB1A7375816864FC86,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I005.asset,,7FF1B1D073DAE196006362650C887793588AC91B56769D8F5912A6F04E3EA900,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I006.asset,,B4E896C9EF489EA03E2EB02387B84AEECEECE5202C6C24F9C3844C0CDF1EF321,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I007.asset,,9AF0E18A35DDF2CD88F5DD2491C3036F87EE10EA7142C298C72120A4C381C7B7,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I008.asset,,B5EEAF6ED3032F3992AE6A588E269F201729626DC2B5CCEB0D64A8DB0E5E96FB,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I009.asset,,5469A605DD41DA8AA2F218AEEAFE9A9EFC509871061C6E8EFF1653163E2C2294,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I010.asset,,F62EBD456DF6FC091D2A1C0AF22B06A2B317FDC11008CBAC8A16FD94507E7FB7,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I011.asset,,F2BC8031500B88A8E7AA22BC7DE1A79DB987F88447CDD482309D44C573BBD695,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I012.asset,,FB522CF229BD6761291A6B72CF01514B98E5901BD61A1C96B708762933104B4A,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I013.asset,,D4B1A09A6A684B313BBE76BAF493C9787695D7BFBF17C83CF144351D08DED58C,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I014.asset,,C0465233C17621C03212C4547628EA29CF98945E78F416B6D3B64DA1F0E6FA6D,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I015.asset,,17DFE1A1C31A50C12F9C24E8FC9136AF0FA9E20947EC9681B5716A64098A2D21,PASS
