chapterId,chapterIndex,stageId,stageIndex,encounterNodeId,zoneId,isBossStage,stopBeforeBossAfterWin,requiresManualBossChallenge,contentBindingSlotId,bossProfileId,bossResolutionMode,beforeChapterTutorialHookId,beforeChapterStoryHookId,beforeStageTutorialHookId,beforeStageStoryHookId,afterResultTutorialHookId,afterResultStoryHookId,beforeBossTutorialHookId,beforeBossStoryHookId,beforeBossChallengeTutorialHookId,beforeBossChallengeStoryHookId,afterBossResultTutorialHookId,afterBossResultStoryHookId,beforeNextChapterUnlockTutorialHookId,beforeNextChapterUnlockStoryHookId,dropCandidateHookId,devOnly,isEnabled,formalFlow
"bone_aspect_chapter_1","1","1-1","1","bone_aspect_node_c1_01_ding_lane_outer","bone_aspect_node_c1_01_ding_lane_outer","false","false","false","bline.content_binding_slot.c1.s1","","None","bline.chapter_flow.before_chapter.c1.s1.tutorial","bline.chapter_flow.before_chapter.c1.s1.story","bline.chapter_flow.before_stage.c1.s1.tutorial","bline.chapter_flow.before_stage.c1.s1.story","bline.chapter_flow.after_result.c1.s1.tutorial","bline.chapter_flow.after_result.c1.s1.story","","","","","","","","","bline.chapter_flow.drop_candidate_preview.c1.s1.contract","true","false","false"
"bone_aspect_chapter_1","1","1-2","2","bone_aspect_node_c1_01_ding_lane_outer","bone_aspect_node_c1_01_ding_lane_outer","false","false","false","bline.content_binding_slot.c1.s2","","None","","","bline.chapter_flow.before_stage.c1.s2.tutorial","bline.chapter_flow.before_stage.c1.s2.story","bline.chapter_flow.after_result.c1.s2.tutorial","bline.chapter_flow.after_result.c1.s2.story","","","","","","","","","bline.chapter_flow.drop_candidate_preview.c1.s2.contract","true","false","false"
"bone_aspect_chapter_1","1","1-3","3","bone_aspect_node_c1_01_ding_lane_outer","bone_aspect_node_c1_01_ding_lane_outer","false","false","false","bline.content_binding_slot.c1.s3","","None","","","bline.chapter_flow.before_stage.c1.s3.tutorial","bline.chapter_flow.before_stage.c1.s3.story","bline.chapter_flow.after_result.c1.s3.tutorial","bline.chapter_flow.after_result.c1.s3.story","","","","","","","","","bline.chapter_flow.drop_candidate_preview.c1.s3.contract","true","false","false"
"bone_aspect_chapter_1","1","1-4","4","bone_aspect_node_c1_02_bone_shop_outer_lane","bone_aspect_node_c1_02_bone_shop_outer_lane","false","false","false","bline.content_binding_slot.c1.s4","","None","","","bline.chapter_flow.before_stage.c1.s4.tutorial","bline.chapter_flow.before_stage.c1.s4.story","bline.chapter_flow.after_result.c1.s4.tutorial","bline.chapter_flow.after_result.c1.s4.story","","","","","","","","","bline.chapter_flow.drop_candidate_preview.c1.s4.contract","true","false","false"
"bone_aspect_chapter_1","1","1-5","5","bone_aspect_node_c1_02_bone_shop_outer_lane","bone_aspect_node_c1_02_bone_shop_outer_lane","false","false","false","bline.content_binding_slot.c1.s5","","None","","","bline.chapter_flow.before_stage.c1.s5.tutorial","bline.chapter_flow.before_stage.c1.s5.story","bline.chapter_flow.after_result.c1.s5.tutorial","bline.chapter_flow.after_result.c1.s5.story","","","","","","","","","bline.chapter_flow.drop_candidate_preview.c1.s5.contract","true","false","false"
"bone_aspect_chapter_1","1","1-6","6","bone_aspect_node_c1_02_bone_shop_outer_lane","bone_aspect_node_c1_02_bone_shop_outer_lane","false","false","false","bline.content_binding_slot.c1.s6","","None","","","bline.chapter_flow.before_stage.c1.s6.tutorial","bline.chapter_flow.before_stage.c1.s6.story","bline.chapter_flow.after_result.c1.s6.tutorial","bline.chapter_flow.after_result.c1.s6.story","","","","","","","","","bline.chapter_flow.drop_candidate_preview.c1.s6.contract","true","false","false"
"bone_aspect_chapter_1","1","1-7","7","bone_aspect_node_c1_02_bone_shop_outer_lane","bone_aspect_node_c1_02_bone_shop_outer_lane","false","false","false","bline.content_binding_slot.c1.s7","","None","","","bline.chapter_flow.before_stage.c1.s7.tutorial","bline.chapter_flow.before_stage.c1.s7.story","bline.chapter_flow.after_result.c1.s7.tutorial","bline.chapter_flow.after_result.c1.s7.story","","","","","","","","","bline.chapter_flow.drop_candidate_preview.c1.s7.contract","true","false","false"
"bone_aspect_chapter_1","1","1-8","8","bone_aspect_node_c1_03_bone_shop_inner_hall","bone_aspect_node_c1_03_bone_shop_inner_hall","false","false","false","bline.content_binding_slot.c1.s8","","None","","","bline.chapter_flow.before_stage.c1.s8.tutorial","bline.chapter_flow.before_stage.c1.s8.story","bline.chapter_flow.after_result.c1.s8.tutorial","bline.chapter_flow.after_result.c1.s8.story","","","","","","","","","bline.chapter_flow.drop_candidate_preview.c1.s8.contract","true","false","false"
"bone_aspect_chapter_1","1","1-9","9","bone_aspect_node_c1_03_bone_shop_inner_hall","bone_aspect_node_c1_03_bone_shop_inner_hall","false","true","false","bline.content_binding_slot.c1.s9","","None","","","bline.chapter_flow.before_stage.c1.s9.tutorial","bline.chapter_flow.before_stage.c1.s9.story","bline.chapter_flow.after_result.c1.s9.tutorial","bline.chapter_flow.after_result.c1.s9.story","bline.chapter_flow.before_boss_gate.c1.s9.tutorial","bline.chapter_flow.before_boss_gate.c1.s9.story","","","","","","","bline.chapter_flow.drop_candidate_preview.c1.s9.contract","true","false","false"
"bone_aspect_chapter_1","1","1-10","10","bone_aspect_node_c1_03_bone_shop_inner_hall","bone_aspect_node_c1_03_bone_shop_inner_hall","true","false","true","","bone_aspect_boss_c1_bone_guard","RouteCompletion","","","bline.chapter_flow.before_stage.c1.s10.tutorial","bline.chapter_flow.before_stage.c1.s10.story","bline.chapter_flow.after_result.c1.s10.tutorial","bline.chapter_flow.after_result.c1.s10.story","","","bline.chapter_flow.before_boss_challenge.c1.s10.tutorial","bline.chapter_flow.before_boss_challenge.c1.s10.story","bline.chapter_flow.after_boss_result.c1.s10.tutorial","bline.chapter_flow.after_boss_result.c1.s10.story","bline.chapter_flow.before_next_chapter_unlock.c1.s10.tutorial","bline.chapter_flow.before_next_chapter_unlock.c1.s10.story","","true","false","false"
