scenePath,hierarchyPath,componentRole,beforeActiveSelf,previewActiveSelf,disableActiveSelf,textOrSpriteTouched,rectTransformTouched,created,deleted,renamed,reparented
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]","RectTransform+CanvasRenderer+Image+Outline+VerticalLayoutGroup+ItemSandboxDetailPanelView+ItemDetailPanelView","true","true","false","false","false","false","false","false","false"
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]/ItemDebugScrollView[5]/Viewport[0]/DebugContent[0]/DebugIdentitySection[1]/BodyText[3]","RectTransform+CanvasRenderer+Text","true","true","true","true","false","false","false","false","false"
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]/ItemDebugScrollView[5]/Viewport[0]/DebugContent[0]/DebugIdentitySection[1]/TitleText[1]","RectTransform+CanvasRenderer+Text+LayoutElement","false","false","false","true","false","false","false","false","false"
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]/ItemDebugScrollView[5]/Viewport[0]/DebugContent[0]/DebugStateSection[2]/BodyText[3]","RectTransform+CanvasRenderer+Text","true","true","true","true","false","false","false","false","false"
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]/ItemDebugScrollView[5]/Viewport[0]/DebugContent[0]/DebugStateSection[2]/TitleText[1]","RectTransform+CanvasRenderer+Text+LayoutElement","false","false","false","true","false","false","false","false","false"
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]/ItemDebugScrollView[5]/Viewport[0]/DebugContent[0]/DebugValidationSection[3]/BodyText[3]","RectTransform+CanvasRenderer+Text","true","true","true","true","false","false","false","false","false"
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]/ItemDebugScrollView[5]/Viewport[0]/DebugContent[0]/DebugValidationSection[3]/TitleText[1]","RectTransform+CanvasRenderer+Text+LayoutElement","false","false","false","true","false","false","false","false","false"
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]/ItemDetailFixedBaseStatsRoot[2]/BaseStatsSection[0]/BodyText[3]","RectTransform+CanvasRenderer+Text+VerticalLayoutGroup+ItemDetailAuthoredRowsLayoutElement","true","true","true","true","false","false","false","false","false"
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]/ItemDetailFixedBaseStatsRoot[2]/BaseStatsSection[0]/BodyText[3]/BaseStatRowsRoot[1]/BaseStatRow_0[0]/BaseStatText_0[0]","RectTransform+CanvasRenderer+Text","true","true","true","true","false","false","false","false","false"
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]/ItemDetailFixedBaseStatsRoot[2]/BaseStatsSection[0]/BodyText[3]/BaseStatRowsRoot[1]/BaseStatRow_1[1]/BaseStatIconSlot_1[1]","RectTransform+CanvasRenderer+Image","true","true","true","true","false","false","false","false","false"
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]/ItemDetailFixedBaseStatsRoot[2]/BaseStatsSection[0]/BodyText[3]/BaseStatRowsRoot[1]/BaseStatRow_1[1]/BaseStatText_1[0]","RectTransform+CanvasRenderer+Text","true","true","true","true","false","false","false","false","false"
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]/ItemDetailFixedBaseStatsRoot[2]/BaseStatsSection[0]/BodyText[3]/BaseStatRowsRoot[1]/BaseStatRow_2[2]/BaseStatIconSlot_2[1]","RectTransform+CanvasRenderer+Image","true","true","true","true","false","false","false","false","false"
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]/ItemDetailFixedBaseStatsRoot[2]/BaseStatsSection[0]/BodyText[3]/BaseStatRowsRoot[1]/BaseStatRow_2[2]/BaseStatText_2[0]","RectTransform+CanvasRenderer+Text","true","true","true","true","false","false","false","false","false"
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]/ItemDetailFixedBaseStatsRoot[2]/BaseStatsSection[0]/BodyText[3]/BaseStatRowsRoot[1]/BaseStatRow_3[3]/BaseStatText_3[0]","RectTransform+CanvasRenderer+Text","true","true","true","true","false","false","false","false","false"
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]/ItemDetailFixedBaseStatsRoot[2]/BaseStatsSection[0]/BodyText[3]/BaseStatRowsRoot[1]/BaseStatRow_3[3]/InlineArrayModifierIcon_3[2]","RectTransform+CanvasRenderer+Image","false","true","true","false","false","false","false","false","false"
"Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity","BuildSandboxPreviewCanvas[3]/MobileSafeAreaRoot[0]/SafeAreaRoot[0]/PopupLayer[13]/ItemDetailPanel[3]/ItemDetailFixedBaseStatsRoot[2]/BaseStatsSection[0]/BodyText[3]/BaseStatRowsRoot[1]/BaseStatRow_5[5]","RectTransform","true","false","false","false","false","false","false","false","false"
