scope,seedId,encounterId,mapRuleId,ownerId,requirementGroupId,buildCapabilityKey,sourceBindingKind,pressureAuthoringTargetStatus
ACTIVE_E10,dev_seed_3_10_guard_wall,dev_encounter_3_10_guard_wall,dev_map_copper_bell_night,dev_boss_bronze_formation_general,dev_boss_bronze_formation_general.required,capability.placement_shape,EncounterSlot.MechanicProfileIds + Seed.PrimaryMapRuleId,NOT_ACTIVATED / USER_DECISION_REQUIRED
ACTIVE_E10,dev_seed_3_10_cleanse_corner,dev_encounter_3_10_cleanse_corner,dev_map_bluestone_damp,dev_enemy_polluted_tile_problem,dev_enemy_polluted_tile_problem.required,capability.placement_shape,EncounterSlot.MechanicProfileIds + Seed.PrimaryMapRuleId,NOT_ACTIVATED / USER_DECISION_REQUIRED
ACTIVE_E10,dev_seed_4_10_furnace_core,dev_encounter_4_10_furnace_core,dev_map_furnace_ash_fall,dev_enemy_polluted_tile_problem,dev_enemy_polluted_tile_problem.required,capability.placement_shape,EncounterSlot.MechanicProfileIds + Seed.PrimaryMapRuleId,NOT_ACTIVATED / USER_DECISION_REQUIRED
ACTIVE_E10,dev_seed_4_10_furnace_core,dev_encounter_4_10_furnace_core,dev_map_furnace_ash_fall,dev_enemy_formation_eye_problem,dev_enemy_formation_eye_problem.required,capability.placement_shape,EncounterSlot.MechanicProfileIds + Seed.PrimaryMapRuleId,NOT_ACTIVATED / USER_DECISION_REQUIRED
ACTIVE_E10,dev_seed_4_10_furnace_core,dev_encounter_4_10_furnace_core,dev_map_furnace_ash_fall,dev_enemy_spirit_thief_problem,dev_enemy_spirit_thief_problem.recommended,capability.placement_shape,EncounterSlot.MechanicProfileIds + Seed.PrimaryMapRuleId,NOT_ACTIVATED / USER_DECISION_REQUIRED
ACTIVE_E10,dev_seed_4_10_thunder_fire_cross,dev_encounter_4_10_thunder_fire_cross,dev_map_bluestone_crack,dev_enemy_formation_eye_problem,dev_enemy_formation_eye_problem.required,capability.placement_shape,EncounterSlot.MechanicProfileIds + Seed.PrimaryMapRuleId,NOT_ACTIVATED / USER_DECISION_REQUIRED
ACTIVE_E10,dev_seed_4_10_thunder_fire_cross,dev_encounter_4_10_thunder_fire_cross,dev_map_bluestone_crack,dev_enemy_spirit_thief_problem,dev_enemy_spirit_thief_problem.recommended,capability.placement_shape,EncounterSlot.MechanicProfileIds + Seed.PrimaryMapRuleId,NOT_ACTIVATED / USER_DECISION_REQUIRED
BROADER_E03_ONLY,<null>,<null>,dev_map_formation_eye_shift,dev_boss_bronze_formation_general,dev_boss_bronze_formation_general.required,capability.placement_shape,MapRuleMechanic,NOT_ACTIVATED / USER_DECISION_REQUIRED
BROADER_E03_ONLY,<null>,<null>,dev_map_formation_eye_shift,dev_enemy_formation_eye_problem,dev_enemy_formation_eye_problem.required,capability.placement_shape,MapRuleMechanic,NOT_ACTIVATED / USER_DECISION_REQUIRED
BROADER_E03_ONLY,<null>,<null>,dev_map_formation_eye_shift,dev_enemy_spirit_thief_problem,dev_enemy_spirit_thief_problem.recommended,capability.placement_shape,MapRuleMechanic,NOT_ACTIVATED / USER_DECISION_REQUIRED
