snapshotId,evaluationChannel,requirementId,declaredChannel,applicabilityState,expectedValid,fixtureOnly
dev_requirement_channel_fixture_snapshot_continuous_bp,ContinuousBP,dev_requirement_channel_fixture_bp_applicable,ContinuousBP,Applicable,true,true
dev_requirement_channel_fixture_snapshot_continuous_bp,ContinuousBP,dev_requirement_channel_fixture_bp_unknown,ContinuousBP,Unknown,true,true
dev_requirement_channel_fixture_snapshot_continuous_bp,ContinuousBP,dev_requirement_channel_fixture_bp_not_applicable,ContinuousBP,NotApplicable,true,true
dev_requirement_channel_fixture_snapshot_continuous_bp,ContinuousBP,dev_requirement_channel_fixture_structural_applicable,StructuralPredicate,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_continuous_bp,ContinuousBP,dev_requirement_channel_fixture_structural_unknown,StructuralPredicate,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_continuous_bp,ContinuousBP,dev_requirement_channel_fixture_structural_not_applicable,StructuralPredicate,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_continuous_bp,ContinuousBP,dev_requirement_channel_fixture_runtime_applicable,RuntimeEventSignal,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_continuous_bp,ContinuousBP,dev_requirement_channel_fixture_runtime_unknown,RuntimeEventSignal,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_continuous_bp,ContinuousBP,dev_requirement_channel_fixture_runtime_not_applicable,RuntimeEventSignal,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_structural_predicate,StructuralPredicate,dev_requirement_channel_fixture_bp_applicable,ContinuousBP,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_structural_predicate,StructuralPredicate,dev_requirement_channel_fixture_bp_unknown,ContinuousBP,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_structural_predicate,StructuralPredicate,dev_requirement_channel_fixture_bp_not_applicable,ContinuousBP,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_structural_predicate,StructuralPredicate,dev_requirement_channel_fixture_structural_applicable,StructuralPredicate,Applicable,true,true
dev_requirement_channel_fixture_snapshot_structural_predicate,StructuralPredicate,dev_requirement_channel_fixture_structural_unknown,StructuralPredicate,Unknown,true,true
dev_requirement_channel_fixture_snapshot_structural_predicate,StructuralPredicate,dev_requirement_channel_fixture_structural_not_applicable,StructuralPredicate,NotApplicable,true,true
dev_requirement_channel_fixture_snapshot_structural_predicate,StructuralPredicate,dev_requirement_channel_fixture_runtime_applicable,RuntimeEventSignal,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_structural_predicate,StructuralPredicate,dev_requirement_channel_fixture_runtime_unknown,RuntimeEventSignal,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_structural_predicate,StructuralPredicate,dev_requirement_channel_fixture_runtime_not_applicable,RuntimeEventSignal,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_runtime_event_signal,RuntimeEventSignal,dev_requirement_channel_fixture_bp_applicable,ContinuousBP,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_runtime_event_signal,RuntimeEventSignal,dev_requirement_channel_fixture_bp_unknown,ContinuousBP,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_runtime_event_signal,RuntimeEventSignal,dev_requirement_channel_fixture_bp_not_applicable,ContinuousBP,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_runtime_event_signal,RuntimeEventSignal,dev_requirement_channel_fixture_structural_applicable,StructuralPredicate,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_runtime_event_signal,RuntimeEventSignal,dev_requirement_channel_fixture_structural_unknown,StructuralPredicate,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_runtime_event_signal,RuntimeEventSignal,dev_requirement_channel_fixture_structural_not_applicable,StructuralPredicate,NotInChannel,true,true
dev_requirement_channel_fixture_snapshot_runtime_event_signal,RuntimeEventSignal,dev_requirement_channel_fixture_runtime_applicable,RuntimeEventSignal,Applicable,true,true
dev_requirement_channel_fixture_snapshot_runtime_event_signal,RuntimeEventSignal,dev_requirement_channel_fixture_runtime_unknown,RuntimeEventSignal,Unknown,true,true
dev_requirement_channel_fixture_snapshot_runtime_event_signal,RuntimeEventSignal,dev_requirement_channel_fixture_runtime_not_applicable,RuntimeEventSignal,NotApplicable,true,true

